timestamp,action,target_decel,cost,predicted_risk,predicted_min_distance,predicted_min_ttc,ext_score,int_score,cross_score,fused_score,fused_level,lead_distance,lead_ttc,closing_speed,lead_warning_level,reasons
1782645367.631,EMERGENCY_BRAKE,6.50,1.0419,0.8669,5.075,1.307,1.0000,0.0000,0.0000,0.3488,1,11.530,1.350,8.550,1,TTC 1.4s | distance 11.5m | closing 8.6m/s | pred risk 0.87
1782645368.184,BRAKE,3.50,0.7845,0.7869,5.179,1.970,1.0000,0.0000,0.0000,0.3500,1,8.380,1.970,4.260,1,TTC 2.0s | distance 8.4m | closing 4.3m/s | pred risk 0.79
1782645368.732,KEEP,0.00,0.6670,0.7500,6.640,8.098,1.0000,0.0000,0.0000,0.3448,1,7.870,99.000,0.820,1,distance 7.9m | closing 0.8m/s | pred risk 0.75
1782645369.280,BRAKE,3.50,0.9396,1.0000,2.580,99.000,1.0000,0.0000,0.0000,0.3499,1,2.580,99.000,0.000,0,distance 2.6m critical | pred risk 1.00
1782645369.837,EMERGENCY_BRAKE,6.50,1.1543,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3432,1,3.030,0.460,6.640,0,TTC 0.5s critical | distance 3.0m | closing 6.6m/s | pred risk 1.00
1782889693.179,BRAKE,3.50,0.9395,1.0000,2.600,99.000,1.0000,0.0000,0.0000,0.3500,1,2.600,99.000,0.000,0,distance 2.6m critical | pred risk 1.00
1782889694.093,BRAKE,3.50,0.9393,1.0000,2.630,99.000,1.0000,0.0000,0.0000,0.3500,1,2.630,99.000,0.000,0,distance 2.6m critical | pred risk 1.00
1782889694.604,KEEP,0.00,0.6675,0.7500,3.130,1.886,1.0000,0.0000,0.0000,0.3500,1,5.620,3.380,1.660,1,TTC 3.4s | distance 5.6m | closing 1.7m/s | pred risk 0.75
1782889695.141,BRAKE,3.50,0.7550,0.7500,2.874,1.630,1.0000,0.0000,0.0000,0.3500,1,4.170,1.630,2.560,1,TTC 1.6s | distance 4.2m | closing 2.6m/s | pred risk 0.75
1782889695.663,BRAKE,3.50,0.9388,1.0000,2.780,99.000,1.0000,0.0000,0.0000,0.3500,1,2.780,99.000,0.030,0,distance 2.8m critical | pred risk 1.00
1782889696.188,KEEP,0.00,0.6868,0.7633,9.390,27.618,1.0000,0.0000,0.0000,0.3500,1,9.900,99.000,0.340,1,distance 9.9m | pred risk 0.76
1782889696.705,KEEP,0.00,0.6675,0.7500,8.945,13.351,1.0000,0.0000,0.0000,0.3500,1,9.950,99.000,0.670,1,distance 9.9m | closing 0.7m/s | pred risk 0.75
1782889697.225,BRAKE,3.50,0.8140,0.8289,7.484,3.640,1.0000,0.0000,0.0000,0.3500,1,8.580,3.640,2.360,1,TTC 3.6s | distance 8.6m | closing 2.4m/s | pred risk 0.83
1782889697.731,EMERGENCY_BRAKE,6.50,1.1550,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3500,1,16.800,0.440,38.520,0,TTC 0.4s critical | closing 38.5m/s | pred risk 1.00
1782889698.253,KEEP,0.00,0.6341,0.7489,15.010,2.535,0.9985,0.0000,0.0000,0.3497,1,23.890,4.040,5.920,1,TTC 4.0s | closing 5.9m/s | pred risk 0.75
1782889698.774,BRAKE,3.50,0.7881,0.7914,8.239,2.600,1.0000,0.0000,0.0000,0.3500,1,11.950,2.600,4.600,1,TTC 2.6s | distance 11.9m | closing 4.6m/s | pred risk 0.79
1782889699.292,EMERGENCY_BRAKE,6.50,1.1550,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3500,1,14.100,0.290,49.370,0,TTC 0.3s critical | closing 49.4m/s | pred risk 1.00
1782889699.814,KEEP,0.00,0.6666,0.7500,11.960,99.000,0.9500,0.0000,0.0000,0.3413,1,11.960,99.000,0.000,2,distance 12.0m | pred risk 0.75
1782889700.351,EMERGENCY_BRAKE,6.50,1.1439,1.0000,4.525,1.056,1.0000,0.0000,0.0000,0.2864,1,16.950,1.350,12.530,0,TTC 1.4s | closing 12.5m/s | pred risk 1.00
1782889700.886,BRAKE,3.50,0.8450,0.8869,3.320,99.000,0.8202,0.0000,0.0000,0.2838,1,3.320,99.000,0.400,0,distance 3.3m | pred risk 0.89
1782889701.415,KEEP,0.00,0.3115,0.3661,5.290,1.729,0.0000,0.0000,0.0000,0.1863,0,9.880,3.230,3.060,0,TTC 3.2s | distance 9.9m | closing 3.1m/s
1782889701.951,KEEP,0.00,0.2098,0.2572,12.640,99.000,0.0000,0.0000,0.0000,0.0403,0,12.640,99.000,0.000,0,risk remains low
1782889702.473,KEEP,0.00,0.2589,0.3212,8.320,99.000,0.0276,0.0000,0.0000,0.0193,0,8.320,99.000,0.000,0,distance 8.3m
1782889703.005,EMERGENCY_BRAKE,6.50,0.7345,0.5020,0.000,0.000,0.3000,0.0000,0.0000,0.1287,0,5.920,0.490,12.030,1,TTC 0.5s critical | distance 5.9m | closing 12.0m/s
1782889703.537,KEEP,0.00,0.2703,0.3267,21.180,99.000,0.3267,0.0000,0.0000,0.0896,0,21.180,99.000,0.000,0,risk remains low
1782889704.061,BRAKE,3.50,0.8538,0.8882,6.019,3.310,0.8578,0.0000,0.0000,0.2824,1,6.840,3.310,2.070,0,TTC 3.3s | distance 6.8m | closing 2.1m/s | pred risk 0.89
1782889704.600,EMERGENCY_BRAKE,6.50,1.1518,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3176,1,5.980,0.070,87.420,0,TTC 0.1s critical | distance 6.0m | closing 87.4m/s | pred risk 1.00
1782889705.124,EMERGENCY_BRAKE,6.50,1.1550,1.0000,0.953,0.544,1.0000,0.0000,0.0000,0.3498,1,4.080,0.710,5.760,1,TTC 0.7s critical | distance 4.1m | closing 5.8m/s | pred risk 1.00
1782889705.645,EMERGENCY_BRAKE,6.50,1.1027,0.9520,2.065,1.090,0.9200,0.0000,0.0000,0.3327,1,2.850,1.090,2.610,1,TTC 1.1s critical | distance 2.9m critical | closing 2.6m/s | pred risk 0.95
